mysql> select * from jobs;

+-----+---------------------+-----+------+--------+--------+--------+
| id  | time                | red | blue | yellow | status | ticket |
+-----+---------------------+-----+------+--------+--------+--------+
| 116 | 2018-11-13 10:52:43 |   4 |    3 |      0 |      2 | 2B1659 |
| 118 | 2018-11-13 10:52:53 |   3 |    0 |      0 |      2 | 670B81 |
| 122 | 2018-11-14 15:32:18 |   0 |    2 |      2 |      2 | 65F800 |
| 123 | 2018-11-14 15:32:38 |   0 |    3 |      0 |      1 | NULL   |
| 124 | 2018-11-14 15:32:58 |   3 |    3 |      2 |      1 | NULL   |
+-----+---------------------+-----+------+--------+--------+--------+
5 rows in set (0.00 sec)

mysql> select * from log;

+-----+---------------------+---------+------------------------------------+-------+
| id  | time                | cell_id | comment                            | event |
| 109 | 2018-11-12 20:01:39 |       3 | order id = 42                      |     7 |
| 110 | 2018-11-12 20:01:43 |       3 | order id = 42                      |     8 |
| 111 | 2018-11-12 20:01:43 |       3 | order id = 43                      |     7 |
| 112 | 2018-11-12 20:01:46 |       3 | order id = 43                      |     8 |
| 113 | 2018-11-12 20:01:49 |       3 | order id = 43                      |     8 |
| 114 | 2018-11-12 20:01:49 |       3 | order id = 44                      |     7 |
| 115 | 2018-11-12 20:01:52 |       3 | order id = 44                      |     8 |
| 116 | 2018-11-12 20:01:55 |       3 | order id = 44                      |     8 |
| 117 | 2018-11-12 20:01:56 |       3 | order id = 45                      |     7 |
| 118 | 2018-11-12 20:01:59 |       3 | order id = 45                      |     8 |
| 119 | 2018-11-12 20:02:00 |       3 | order id = 46                      |     7 |
| 120 | 2018-11-12 20:02:03 |       3 | order id = 46                      |     8 |
| 121 | 2018-11-12 20:02:03 |       3 | order id = 47                      |     7 |
| 122 | 2018-11-12 20:02:06 |       3 | order id = 47                      |     8 |
| 123 | 2018-11-12 20:02:10 |       3 | order id = 47                      |     8 |
| 124 | 2018-11-12 20:02:10 |       3 | order id = 48                      |     7 |
| 125 | 2018-11-12 20:02:13 |       3 | order id = 48                      |     8 |
| 126 | 2018-11-12 20:02:13 |       3 | order id = 49                      |     7 |
| 127 | 2018-11-12 20:02:16 |       3 | order id = 49                      |     8 |
| 128 | 2018-11-12 20:02:19 |       3 | order id = 49                      |     8 |
| 129 | 2018-11-12 20:02:19 |       3 | order id = 50                      |     7 |
| 130 | 2018-11-12 20:02:22 |       3 | order id = 50                      |     8 |
| 131 | 2018-11-12 20:02:26 |       3 | order id = 50                      |     8 |
| 132 | 2018-11-12 20:02:26 |       3 | order id = 51                      |     7 |
| 133 | 2018-11-12 20:02:29 |       3 | order id = 51                      |     8 |
| 134 | 2018-11-12 20:02:29 |       3 | order id = 52                      |     7 |
| 135 | 2018-11-12 20:02:32 |       3 | order id = 52                      |     8 |
| 136 | 2018-11-12 20:02:35 |       3 | order id = 52                      |     8 |
| 137 | 2018-11-12 20:02:35 |       3 | order id = 53                      |     7 |
| 138 | 2018-11-12 20:02:38 |       3 | order id = 53                      |     8 |
| 139 | 2018-11-12 20:02:39 |       3 | order id = 54                      |     7 |
| 140 | 2018-11-12 20:02:42 |       3 | order id = 54                      |     8 |
| 141 | 2018-11-12 20:02:45 |       3 | order id = 54                      |     8 |
| 142 | 2018-11-12 20:02:45 |       3 | order id = 55                      |     7 |
| 143 | 2018-11-12 20:02:48 |       3 | order id = 55                      |     8 |
| 144 | 2018-11-12 20:02:51 |       3 | order id = 55                      |     8 |
| 145 | 2018-11-12 20:02:51 |       3 | order id = 56                      |     7 |
| 146 | 2018-11-12 20:02:54 |       3 | order id = 56                      |     8 |
| 147 | 2018-11-12 20:02:55 |       3 | order id = 57                      |     7 |
| 148 | 2018-11-12 20:02:58 |       3 | order id = 57                      |     8 |
